"ln_base_price","act_type","bidders","execution_dummy","contract_year","CPV_agrupado","loc","covid_pandemic","environmental","custo_aumentou"
9.7423147753921,"Standard Procedure Notice",16,0,2022,"Group 02: Medical Equipment","PT17",1,0,"no_increase"
10.8595646068073,"Standard Procedure Notice",46,1,2023,"Group 02: Medical Equipment","PT17",1,0,"no_increase"
11.8099014647707,"Deadline Extension Notice",60,1,2020,"Group 02: Medical Equipment","PT16",1,0,"no_increase"
10.896258654487,"Standard Procedure Notice",22,1,2022,"Group 02: Medical Equipment","PT11",1,0,"no_increase"
10.8348048184269,"Standard Procedure Notice",39,0,2021,"Group 02: Medical Equipment","PT16",1,0,"no_increase"
12.1116689397541,"Standard Procedure Notice",1,0,2016,"Group 02: Medical Equipment","PT11",0,0,"no_increase"
11.049391422742,"Standard Procedure Notice",21,1,2022,"Group 02: Medical Equipment","PT16",1,0,"no_increase"
12.0457231258662,"Standard Procedure Notice",35,1,2023,"Group 02: Medical Equipment","PT17",1,0,"no_increase"
10.8595646068073,"Standard Procedure Notice",46,1,2023,"Group 02: Medical Equipment","PT17",1,0,"no_increase"
12.0324800998245,"Standard Procedure Notice",49,1,2022,"Group 02: Medical Equipment","PT16",1,0,"no_increase"
12.0422940995191,"Standard Procedure Notice",24,1,2020,"Group 02: Medical Equipment","PT17",1,0,"no_increase"
9.95127435636503,"Standard Procedure Notice",44,1,2018,"Group 02: Medical Equipment","PT17",0,0,"no_increase"
11.0198628081073,"Standard Procedure Notice",1,1,2017,"Group 03: Equipment and Materials","PT17",0,0,"no_increase"
9.67441709677263,"Standard Procedure Notice",22,0,2021,"Group 02: Medical Equipment","PT17",1,0,"no_increase"
11.2529997947135,"Standard Procedure Notice",39,1,2023,"Group 02: Medical Equipment","PT11",0,0,"no_increase"
9.95127435636503,"Standard Procedure Notice",44,1,2018,"Group 02: Medical Equipment","PT17",0,0,"no_increase"
11.6050203904707,"Standard Procedure Notice",22,1,2018,"Group 02: Medical Equipment","PT16",0,0,"no_increase"
12.0324800998245,"Standard Procedure Notice",49,1,2022,"Group 02: Medical Equipment","PT16",1,0,"no_increase"
10.8595646068073,"Standard Procedure Notice",46,1,2023,"Group 02: Medical Equipment","PT17",1,0,"no_increase"
10.8788329215042,"Standard Procedure Notice",19,1,2022,"Group 02: Medical Equipment","PT11",1,0,"no_increase"
11.8099014647707,"Deadline Extension Notice",60,1,2020,"Group 02: Medical Equipment","PT16",1,0,"no_increase"
11.0262394553907,"Standard Procedure Notice",48,0,2018,"Group 02: Medical Equipment","PT16",0,0,"no_increase"
11.474087438583,"Standard Procedure Notice",44,1,2023,"Group 02: Medical Equipment","PT11",1,0,"no_increase"
11.474087438583,"Standard Procedure Notice",44,1,2023,"Group 02: Medical Equipment","PT11",1,0,"no_increase"
10.0901517497364,"Standard Procedure Notice",40,0,2022,"Group Not Specified","PT17",1,0,"no_increase"
11.9740781650492,"Standard Procedure Notice",46,1,2022,"Group 02: Medical Equipment","PT16",1,0,"no_increase"
9.29128421196954,"Standard Procedure Notice",3,1,2023,"Group 02: Medical Equipment","PT17",0,0,"no_increase"
12.0717449359294,"Standard Procedure Notice",41,0,2023,"Group 02: Medical Equipment","PT17",0,0,"no_increase"
8.77630910878922,"Standard Procedure Notice",23,1,2022,"Group 02: Medical Equipment","PT11",1,0,"no_increase"
9.20422672164254,"Standard Procedure Notice",46,1,2022,"Group 02: Medical Equipment","PT11",1,0,"no_increase"
11.9823586190259,"Standard Procedure Notice",77,1,2023,"Group 02: Medical Equipment","PT16",0,0,"no_increase"
10.3551801789606,"Standard Procedure Notice",45,1,2023,"Group 02: Medical Equipment","PT17",0,0,"no_increase"
12.0324800998245,"Standard Procedure Notice",49,1,2022,"Group 02: Medical Equipment","PT16",1,0,"no_increase"
11.7061968529504,"Standard Procedure Notice",1,1,2018,"Group 02: Medical Equipment","PT30",0,0,"no_increase"
12.0141898453787,"Standard Procedure Notice",1,1,2022,"Group 02: Medical Equipment","PT30",1,0,"no_increase"
11.4993428373069,"Standard Procedure Notice",48,1,2022,"Group 02: Medical Equipment","PT16",1,0,"no_increase"
12.0324800998245,"Standard Procedure Notice",49,1,2022,"Group 02: Medical Equipment","PT16",1,0,"no_increase"
10.8395391461284,"Standard Procedure Notice",46,1,2023,"Group 02: Medical Equipment","PT17",1,0,"no_increase"
12.028326067543,"Urgent Tender Notice",1,1,2019,"Group 02: Medical Equipment","PT16",0,0,"no_increase"
12.0324800998245,"Standard Procedure Notice",49,1,2022,"Group 02: Medical Equipment","PT16",1,0,"no_increase"
9.46544759849579,"Standard Procedure Notice",18,0,2021,"Group 02: Medical Equipment","PT17",1,0,"no_increase"
10.3456863092559,"Standard Procedure Notice",61,0,2021,"Group 02: Medical Equipment","PT16",1,0,"no_increase"
9.95127435636503,"Standard Procedure Notice",44,1,2018,"Group 02: Medical Equipment","PT17",0,0,"no_increase"
12.028326067543,"Urgent Tender Notice",1,0,2019,"Group 02: Medical Equipment","PT16",0,0,"no_increase"
11.559914007193,"Standard Procedure Notice",21,1,2023,"Group 02: Medical Equipment","PT16",1,0,"no_increase"
11.5963746716245,"Standard Procedure Notice",55,0,2021,"Group 02: Medical Equipment","PT16",1,0,"no_increase"
12.0422940995191,"Standard Procedure Notice",24,0,2020,"Group 02: Medical Equipment","PT17",1,0,"no_increase"
9.83330701176343,"Standard Procedure Notice",1,0,2017,"Group 02: Medical Equipment","PT11",0,0,"no_increase"
11.2764560169856,"Standard Procedure Notice",14,0,2023,"Group 02: Medical Equipment","PT17",0,0,"no_increase"
9.16437182330305,"Standard Procedure Notice",31,1,2023,"Group 02: Medical Equipment","PT17",1,0,"no_increase"
9.78765742122011,"Standard Procedure Notice",32,1,2019,"Group 02: Medical Equipment","PT17",0,0,"no_increase"
11.1422385241979,"Standard Procedure Notice",34,0,2022,"Group 02: Medical Equipment","PT17",1,0,"no_increase"
12.0324800998245,"Standard Procedure Notice",49,1,2022,"Group 02: Medical Equipment","PT16",1,0,"no_increase"
11.0388657810449,"Standard Procedure Notice",18,1,2023,"Group 02: Medical Equipment","PT17",1,0,"no_increase"
10.0808384426767,"Standard Procedure Notice",10,0,2023,"Group 02: Medical Equipment","PT17",0,0,"no_increase"
11.2441436520189,"Standard Procedure Notice",26,0,2021,"Group 02: Medical Equipment","PT17",1,0,"no_increase"
11.6343471172693,"Standard Procedure Notice",29,1,2022,"Group 02: Medical Equipment","PT11",1,0,"no_increase"
11.1381623403743,"Standard Procedure Notice",28,1,2020,"Group 02: Medical Equipment","PT16",1,0,"no_increase"
10.7444532642617,"Standard Procedure Notice",22,1,2023,"Group 02: Medical Equipment","PT11",1,0,"no_increase"
10.1542248698761,"Standard Procedure Notice",35,1,2023,"Group 02: Medical Equipment","PT17",1,0,"no_increase"
11.8495948250185,"Standard Procedure Notice",69,0,2021,"Group 02: Medical Equipment","PT16",1,0,"no_increase"
10.7677699976345,"Standard Procedure Notice",61,1,2023,"Group Not Specified","PT17",1,0,"no_increase"
10.3456863092559,"Standard Procedure Notice",61,0,2021,"Group 02: Medical Equipment","PT16",1,0,"no_increase"
10.1542248698761,"Standard Procedure Notice",35,1,2023,"Group 02: Medical Equipment","PT17",1,0,"no_increase"
11.2210077682468,"Standard Procedure Notice",17,0,2020,"Group 02: Medical Equipment","PT17",1,0,"no_increase"
11.9823586190259,"Standard Procedure Notice",77,1,2023,"Group 02: Medical Equipment","PT16",0,0,"no_increase"
10.0901517497364,"Standard Procedure Notice",40,0,2022,"Group Not Specified","PT17",1,0,"no_increase"
11.8330813103065,"Standard Procedure Notice",32,1,2023,"Group 02: Medical Equipment","PT17",0,0,"no_increase"
